Date,Inflation
1996-12-01,158.6
1996-11-01,158.6
1996-10-01,158.3
1996-09-01,157.8
1996-08-01,157.3
1996-07-01,157.0
1996-06-01,156.7
1996-05-01,156.6
1996-04-01,156.3
1996-03-01,155.7
1996-02-01,154.9
1996-01-01,154.4
1995-12-01,153.5
1995-11-01,153.6
1995-10-01,153.7
1995-09-01,153.2
1995-08-01,152.9
1995-07-01,152.5
1995-06-01,152.5
1995-05-01,152.2
1995-04-01,151.9
1995-03-01,151.4
1995-02-01,150.9
1995-01-01,150.3
1994-12-01,149.7
1994-11-01,149.7
1994-10-01,149.5
1994-09-01,149.4
1994-08-01,149.0
1994-07-01,148.4
1994-06-01,148.0
1994-05-01,147.5
1994-04-01,147.4
1994-03-01,147.2
1994-02-01,146.7
1994-01-01,146.2
1993-12-01,145.8
1993-11-01,145.8
1993-10-01,145.7
1993-09-01,145.1
1993-08-01,144.8
1993-07-01,144.4
1993-06-01,144.4
1993-05-01,144.2
1993-04-01,144.0
1993-03-01,143.6
1993-02-01,143.1
1993-01-01,142.6
1992-12-01,141.9
1992-11-01,142.0
1992-10-01,141.8
1992-09-01,141.3
1992-08-01,140.9
1992-07-01,140.5
1992-06-01,140.2
1992-05-01,139.7
1992-04-01,139.5
1992-03-01,139.3
1992-02-01,138.6
1992-01-01,138.1
1991-12-01,137.9
1991-11-01,137.8
1991-10-01,137.4
1991-09-01,137.2
1991-08-01,136.6
1991-07-01,136.2
1991-06-01,136.0
1991-05-01,135.6
1991-04-01,135.2
1991-03-01,135.0
1991-02-01,134.8
1991-01-01,134.6
1990-12-01,133.8
1990-11-01,133.8
1990-10-01,133.5
1990-09-01,132.7
1990-08-01,131.6
1990-07-01,130.4
1990-06-01,129.9
1990-05-01,129.2
1990-04-01,128.9
1990-03-01,128.7
1990-02-01,128.0
1990-01-01,127.4
1989-12-01,126.1
1989-11-01,125.9
1989-10-01,125.6
1989-09-01,125.0
1989-08-01,124.6
1989-07-01,124.4
1989-06-01,124.1
1989-05-01,123.8
1989-04-01,123.1
1989-03-01,122.3
1989-02-01,121.6
1989-01-01,121.1
1988-12-01,120.5
1988-11-01,120.3
1988-10-01,120.2
1988-09-01,119.8
1988-08-01,119.0
1988-07-01,118.5
1988-06-01,118.0
1988-05-01,117.5
1988-04-01,117.1
1988-03-01,116.5
1988-02-01,116.0
1988-01-01,115.7
1987-12-01,115.4
1987-11-01,115.4
1987-10-01,115.3
1987-09-01,115.0
1987-08-01,114.4
1987-07-01,113.8
1987-06-01,113.5
1987-05-01,113.1
1987-04-01,112.7
1987-03-01,112.1
1987-02-01,111.6
1987-01-01,111.2
